name_zh,name_pinyin,gate_category,subcategory,four_qi,five_flavors,meridians,primary_functions,indications,constitutions_suitable,constitutions_caution,contraindications,seasonality,prep_methods,pairing_good,pairing_bad,dietary_dosage,medicinal_dosage,modern_notes,source_ref
葛根,ge gen,中药材,解肌升阳,凉,甘;辛,脾;胃,解肌退热;生津止渴;升阳止泻,外感发热;项背强痛;麻疹不透;津伤口渴;泄泻,湿热、平和、阴虚,阳虚、痰湿,胃寒呕吐者慎,四季,煎服/入膳/研末,柴胡;升麻,——,适量入膳,10-15g/日,药食两用：常用于解酒、升阳。,《中国药典》/《神农本草经》
葡萄,pu tao,食材,果品,平,甘酸,脾;肝;肾,补气血;强筋骨,气血不足;体虚,痰湿、血虚、阴虚、气虚、平和,适量为宜;忌过食,孕妇慎；实热内盛慎；脾虚湿盛慎；阴虚火旺慎,四季,鲜食/酿酒,姜;枸杞;山药;蜂蜜,酒精;油炸,100-150g/日,1-3g/日,营养成分丰富，含氨基酸、多糖及微量元素。；食疗与营养兼顾：含多糖、黄酮、维生素等，具有抗氧化作用。,《本草纲目》要点/现代药理参考
葱,cong,食材,调味品复方类,温,淡、苦,肝;胆;肾;肺;心;小肠;脾;胃,发汗解表;通阳,感冒;鼻塞,阳虚、气滞、血虚、平和、气虚,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；阴虚火旺慎；孕妇慎,四季,泡茶/生食/炖煮/煲汤/煎服/熬膏,姜;葱;米,辛辣;油腻,适量,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
蒜,suan,食材,调味品复方类,微温,甘酸、辛咸,肺;脾;胃;肝;肾;心;小肠;胆,解毒杀虫;温中,食积;腹胀,平和、气虚、阳虚、血虚,适量使用;忌过量,实热内盛慎；阴虚火旺慎；脾虚湿盛慎,四季,炖煮/生食/外用/蒸食/煲汤/泡茶/煎服,姜;葱;米,辛辣;油腻,适量,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
蒲公英,pu gong ying,食材,蔬菜,寒,苦;甘,肝;胃,清热解毒;利尿,热毒;肝火;小便不利,湿热、肝火,适量为宜,脾胃虚寒慎,春、夏,凉拌/泡茶,——,——,30-50g/餐,——,天然抗生素，清肝解毒，药食两用。,《本草纲目》/现代营养学
蔓荆子,man jing zi,中药材,疏风清热,微寒,苦;辛,肝;胃;膀胱,调理脏腑;扶正祛邪,食积不化;气滞;湿困中焦,平和体质为主，结合个体情况,孕妇或慢性病患者遵医嘱,过敏者禁用,四季,煎服/入膳,——,——,——,6-12g/日,药食参考条目，后续可细化现代研究与营养信息。,《本草纲目》等/现代文献汇编(占位)
蕨菜,jue cai,食材,野菜山珍类,凉,甘,脾;胃,清热解毒;利湿,湿热黄疸;便秘,湿热、气虚、痰湿、血虚、气滞,新鲜适量食用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎,四季,焯炒/凉拌,姜;蒜;香油,辛辣;油炸,适量,1-3g/日,山野食材兼具养生与食疗价值，富含氨基酸与多糖。,《本草纲目》要点/现代药理参考
薄荷,bo he,中药材,凉血,热,苦、苦甘,心;肝;脾;肺;胃;肾;小肠;胆;大肠;膀胱,疏风清热;利咽透疹,风热感冒;咽痛,气虚、血虚、阳虚、阴虚、气滞,过量慎用,阴虚火旺慎；脾虚湿盛慎；实热内盛慎；孕妇慎；高尿酸慎,四季,生食/炙用/研末/泡茶/冲服/煎服/煲汤/先煎/外用/后下,姜;枣;米;薄荷;菊花;金银花;桑叶;荆芥,——,——,1-3g/日,药食两用：具清热、抗炎、调节代谢作用。；常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
薄荷叶,bo he ye,中药材,调味香料类,热,甘、酸涩,肺;脾;胃;肝;肾;胆;心;小肠,疏风清热;利咽,头痛;咽痛,气滞、湿热、痰湿、气虚、阳虚,适量为宜;忌过食,实热内盛慎；脾虚湿盛慎；阴虚火旺慎；孕妇慎,四季,研末/冲泡/泡酒/外用/煎服/香料/炖煮/泡茶/生食/煲汤,姜;枸杞;蜂蜜,酒精;油炸,——,1-3g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
薄荷油,bo he you,中药材,外用草药类,平,辛咸、酸,脾;胃;肝;肾;肺;胆;心;小肠,疏风清热;芳香开窍,头痛;鼻塞,平和、血虚、气滞、湿热、痰湿,适量使用;忌过量,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,蒸食/炖煮/煲汤/生食/泡茶/熬膏/煎服/外用,姜;葱;米,辛辣;油腻,——,15-60g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
薏米,yi mi,食材,谷物,凉,甘淡,脾;肺,健脾渗湿;除痹止泻,水肿;风湿痹痛,血虚、平和、痰湿、阳虚、气虚,适量为宜;忌过食,孕妇慎；脾虚湿盛慎；阴虚火旺慎；实热内盛慎,四季,煮粥,姜;枸杞;山药,酒精;油炸,30-50g/日,1-3g/日,营养学与食疗结合：具降脂、抗氧化、清热等功效。,《本草纲目》要点/现代药理参考
薏苡仁,yi yi ren,中药材,利水渗湿,凉,甘,脾;肺;胃,健脾渗湿;除痹止泻;清热排脓,水肿;脚气;风湿痹痛;脾虚泄泻;肠痈,湿热、痰湿、平和,阴虚、阳虚,脾虚无湿者慎;孕妇慎,四季,煎服/入膳/煮粥,赤小豆;山药;茯苓,——,30-60g/餐,15-30g/日,"即""米仁""，药食两用。",《中国药典》/《神农本草经》
藕节,ou jie,食材,蔬菜,凉,甘;涩,肝;胃;肺,收敛止血;化瘀,咯血;吐血;衄血;便血;崩漏,血瘀、血热、平和,阳虚、脾虚,脾胃虚寒者慎,四季,煎服/入膳/捣汁,白茅根;侧柏叶,——,30-60g/日,15-30g/日,药食参考条目。为莲藕的干燥节结。,《中国药典》/《药性论》
藿香,huo xiang,中药材,民间草药类,寒,辛咸、甘酸,肾;肝;肺;脾;胃;胆;心;小肠,化湿解暑;止呕,暑湿呕吐;腹胀,血虚、阳虚、阴虚、痰湿、气虚,过量慎用；适量使用;忌过量,脾虚湿盛慎；实热内盛慎；阴虚火旺慎；孕妇慎,四季,泡茶/煎服/外用/后下/研末/先煎/煲汤/炙用/生食/冲服/煮粥/泡饮/烹饪/炖煮/蒸食/凉拌,姜;枣;米;红枣,辛辣;油腻,——,6-15g/日,药食两用：具清热、抗炎、调节代谢作用。；常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
虾,xia,动物类,水产,温,甘咸,肾;胃,补肾壮阳;益气,肾虚阳痿;疲倦,痰湿、阳虚、气滞、气虚,适量为宜;忌过食,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,春、秋、冬,清蒸/爆炒,姜;枸杞;山药,酒精;油炸;维生素C;南瓜;果汁,100-250g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
蚕豆,fava bean,食材,豆类,平,甘,脾;胃,健脾利湿;补中益气,脾虚食少;水肿;乏力,平和、气虚、湿热,痰湿,蚕豆病患者(G6PD缺乏)禁用;气滞腹胀者慎,四季,煎服/入膳/炒食,——,——,50-100g/餐,——,药食参考条目。注意蚕豆病（溶血）风险。,《本草纲目》等/现代文献汇编
蚝,hao,动物类,贝类,平,甘、咸,肝;肾,滋阴养血;软坚散结,虚损;盗汗;瘰疬,阴虚、血虚,适量为宜,脾胃虚寒慎,秋、冬,蒸/煮/炒,生姜;蒜;葱,啤酒;水果,50-100g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
蛤蜊,ge li,食材,海产类,寒,苦、酸,肝;胆;肾;肺;脾;胃;心;小肠,清热化痰;软坚,痰热咳嗽;瘰疬,阴虚、阳虚、湿热、痰湿、血虚,适量使用;忌过量,孕妇慎；脾虚湿盛慎；阴虚火旺慎；实热内盛慎,四季,蒸食/生食/熬膏/炖煮/外用/泡茶/煲汤,姜;葱;米,辛辣;油腻,15-60g/日,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
蜂蜜,feng mi,食材,糖类,平,甘,肺;脾;大肠,润肺止咳;润肠通便,肺燥咳嗽;便秘,阴虚、燥热,适量为宜,糖尿病慎;婴儿禁,四季,直食/调味,柠檬;牛奶,——,15-30g/次,——,天然甜味剂，润燥通便，营养丰富。,《本草纲目》/现代营养学
蜂蜜酒,feng mi jiu,中药材,调味香料类,温,酸涩、辛,脾;胃;心;肝;肺;肾;小肠;胆,润肺养阴;补中缓急,咳嗽;脾虚,湿热、气滞、痰湿、阳虚、血虚,适量为宜;忌过食,脾虚湿盛慎；孕妇慎；阴虚火旺慎；实热内盛慎,四季,煎服/外用/泡茶/生食/冲泡/炖煮/泡酒/研末/煲汤/香料,姜;枸杞;蜂蜜,酒精;油炸,——,适量入菜,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
螃蟹,pang xie,食材,海产类,凉,甘酸、苦甘,心;肝;脾;胆;小肠;肺;胃;肾,滋阴清热;活血,阴虚火旺;热病,痰湿、湿热、血虚、气滞、阴虚,适量使用;忌过量,实热内盛慎；孕妇慎；脾虚湿盛慎,春、夏、秋、冬,生食/炖煮/熬膏/煲汤/蒸食,姜;葱;米,辛辣;油腻;柿子;花生;冷饮;茶,100-150g/餐,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
蟹,xie,动物类,水产,寒,咸,肝;胃,滋阴清热;活血,阴虚火旺;热病,阳虚、痰湿、湿热、阴虚、血虚,适量为宜;忌过食,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎,春、夏、秋、冬,清蒸/煮,姜;枸杞;山药,酒精;油炸,15-60g/日,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
西洋参,xi yang shen,中药材,补气养阴,凉,甘;微苦,心;肺;肾,益气生津;清热养阴,气阴两虚;烦热口渴,气阴两虚,脾虚食少慎,——,四季,含服/煎服,——,——,——,3-6g/日,人参皂苷研究,中医方药
西瓜,xi gua,食材,果品,寒,甘,心;胃;膀胱,清热解暑;除烦止渴;利尿,暑热烦渴;小便短赤,湿热、平和,适量为宜,脾胃虚寒慎;糖尿病慎,夏,鲜食/榨汁,绿豆;薄荷,羊肉;油炸物,200-400g/日,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
覆盆子,fu pen zi,中药材,补肾固精,微温,甘;酸,肝;肾,益肾;固精;缩尿,肾虚遗尿;小便频数;阳痿早泄;遗精滑精,阳虚、阴虚、平和,湿热,肾虚有火;小便短涩者慎,四季,煎服/入膳/泡茶,枸杞子;菟丝子,——,——,6-12g/日,药食参考条目。补肾阳，固精缩尿。,《中国药典》/《名医别录》
诃子,he zi,中药材,利水渗湿,平,酸涩、辛甘,肝;肾;脾;心;胆;小肠;肺;胃;膀胱,敛肺止咳;涩肠止泻,久咳失音;泻痢不止,痰湿、阴虚、血虚、平和、湿热,过量慎用,孕妇慎；阴虚火旺慎；脾虚湿盛慎；实热内盛慎；高尿酸慎,春、夏、秋、冬,泡茶/后下/包煎/先煎/炙用/冲服/煎服/外用,诃子,——,——,15-60g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
豆腐荠菜羹,dou fu ji cai geng,食材,节令食疗方,温,甘酸、苦甘,肾;肝;胆;肺;心;小肠;脾;胃,清热生津;养胃,春季上火,血虚、痰湿、平和、气虚、湿热,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；孕妇慎；阴虚火旺慎,四季,蒸食/煎服/凉拌/煲汤/泡饮/炖煮,姜;米;红枣,辛辣;油腻,10-50g/日,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
豌豆,wan dou,食材,谷物豆类,平,咸、辛甘,心;肝;脾;肺;胃;胆;肾;小肠,健脾和中;化湿,腹胀;湿滞,湿热、血虚、阳虚、痰湿,适量使用;忌过量,阴虚火旺慎；实热内盛慎；脾虚湿盛慎；孕妇慎,四季,蒸食/烹饪/凉拌/泡饮/炖煮/煮粥/煎服/煲汤,姜;米;红枣,辛辣;油腻,10-50g/日,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
豨莶草,xi xian cao,中药材,祛风湿,寒,苦,肝;肾,祛风湿;清热解毒,风湿痹痛;湿疹疮毒,湿热,脾胃虚寒慎,——,夏,煎服,——,——,——,9-15g/日,抗炎研究,中医方药
赤小豆,chi xiao dou,食材,谷物豆类,热,酸、辛甘,心;小肠;肝;脾;肺;胃;胆;肾,利水消肿;解毒,水肿;疮疡,阴虚、阳虚,适量使用;忌过量,实热内盛慎；脾虚湿盛慎；孕妇慎,四季,煮粥/烹饪/炖煮/泡饮/煎服/煲汤/蒸食,姜;米;红枣,辛辣;油腻,30-100g/日,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
车前草,che qian cao,中药材,民间草药类,凉,辛咸、酸,肝;肾;肺;胆;脾;胃;心;小肠,清热利湿;通淋;明目;祛痰,小便不利;湿热泻痢;水肿;目赤肿痛;痰热咳嗽,湿热、痰湿、平和,阳虚、脾虚,肾虚精滑者慎;孕妇慎,四季,泡饮/烹饪/蒸食/凉拌/煲汤/煎服,茵陈;栀子,——,10-50g/日,15-30g/日,常见食疗与草药条目，兼具调理与保健价值。,《中国药典》/《神农本草经》
辛夷花,xin yi hua,中药材,宣通鼻窍,温,辛,肺;胃,散风寒;通鼻窍,风寒头痛;鼻塞;鼻渊;鼻流浊涕,气滞、平和、阳虚,阴虚火旺,阴虚火旺者慎,四季,煎服/入膳/包煎,白芷;防风,——,——,3-9g/日,药食参考条目。煎煮时需用纱布包裹。,《中国药典》/《神农本草经》
远志,yuan zhi,中药材,芳香化湿、清热燥湿,寒,辛咸、酸涩,肝;肾;肺;心;脾;胆;胃;大肠,宁心安神;祛痰开窍,心悸健忘;痰多,气滞、气虚、阴虚、阴虚火旺、阳虚,过量慎用,脾虚湿盛慎；阴虚火旺慎；高尿酸慎；实热内盛慎,四季,先煎/研末冲服/泡茶/炙用/外用/后下/煎服,远志,——,——,15-60g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
连翘,lian qiao,中药材,养阴润燥、清热解毒、解表、蔬菜,平,辛、甘酸,肾;肝;肺;脾;胃;胆;心;小肠;大肠,清热解毒;散结消肿,咽喉肿痛;温病;温病发热;痈肿结热,血虚、气滞、湿热、平和、阳虚,过量慎用,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎；高尿酸慎,四季,研末/炙用/煎服/煲汤/外用/后下/泡茶/生食/先煎/冲服,姜;枣;米;连翘;金银花;黄芩;板蓝根;甘草,——,——,100-250g/餐,药食两用：具清热、抗炎、调节代谢作用。；常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
郁金,yu jin,中药材,理气解郁,寒,苦;辛,心;肝;胆,活血止痛;行气解郁;清心凉血;利胆退黄,胸胁刺痛;痛经;心烦;热病神昏;湿热黄疸,气滞、血瘀、湿热,血虚、阴虚,阴虚失血及无瘀滞者慎;孕妇慎,四季,煎服/入膳/研末,柴胡;香附,——,——,6-12g/日,药食参考条目。可行气活血，解郁清心。,《中国药典》/《药性论》
酒,jiu,食材,调味品复方类,平、凉、微温,酸、辛,心;肝;脾;肺;胃;小肠;肾,通经活络;行气,寒湿痹痛;跌打损伤,气滞、湿热、阳虚、痰湿、阴虚,适量使用;忌过量,孕妇慎；实热内盛慎,春、夏、秋、冬,外用/泡茶/煲汤/煎服/蒸食,姜;葱;米,辛辣;油腻,适量,1-3g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
酱油,jiang you,食材,调和,寒,咸,脾;胃;肾,调味增鲜;除热,烹调用,平和,适量为宜,高血压慎;肾病慎,四季,调味,各类菜肴,——,5-10ml/餐,——,调味品，适量使用。,现代营养学参考
酸枣仁,suan zao ren,中药材,活血化瘀,微温、热,甘酸、酸涩,心;肝;脾;大肠;胃;肾;膀胱,养心安神;敛汗生津,失眠多梦;自汗,痰湿、气滞、平和、血虚,过量慎用,阴虚火旺慎；脾虚湿盛慎；高尿酸慎,四季,泡茶/后下/炙用/冲服/研末冲服,酸枣仁,——,——,1-3g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
醋,cu,食材,调味品复方类,温,辛甘、淡,肺;脾;胃;心;肝;肾,消积解毒;活血化瘀,食积;跌打损伤,气虚、平和、血虚、阳虚、痰湿,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；阴虚火旺慎；孕妇慎,春、夏、秋、冬,生食/煲汤/熬膏/外用/炖煮/泡茶,姜;葱;米,辛辣;油腻,适量,3-9g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
野蒜,ye suan,食材,野菜山珍类,温,辛,脾;胃,行气解毒;杀虫,感冒咳嗽;蛔虫,湿热、气虚、阳虚、气滞、阴虚,新鲜适量食用,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,炒菜/凉拌,姜;蒜;香油,辛辣;油炸,适量,3-9g/日,山野食材兼具养生与食疗价值，富含氨基酸与多糖。,《本草纲目》要点/现代药理参考
金盏花,jin zhan hua,中药材,调味品,凉,辛甘、苦甘,脾;胃;肝;肾;肺;胆;心;小肠,清热解毒;护肝,咽喉肿痛;肝热,平和、气滞、湿热、痰湿、血虚,适量为宜;忌过食,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,生食/泡酒/煎服/泡茶/外用/煲汤/研末/炖煮/冲泡,姜;枸杞;蜂蜜,酒精;油炸,——,6-15g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
金钱草,jin qian cao,中药材,民间草药类,微温,苦甘、苦,脾;胃;肾;肝;肺;心,利胆退黄;消石,胆结石;尿路结石,气虚、平和、血虚、痰湿、阴虚,适量使用;忌过量,孕妇慎；阴虚火旺慎；实热内盛慎；脾虚湿盛慎,四季,煮粥/蒸食/炖煮/煎服/泡饮/凉拌/煲汤,姜;米;红枣,辛辣;油腻,——,30-100g/日,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
金银花,jin yin hua,中药材,解表、理气,温,咸、淡,脾;胃;肾;肝;肺;心;小肠;胆;大肠;膀胱,清热解毒;疏散风热,痈肿疔疮;热毒;温病初起;咽喉肿痛,血虚、气虚、阳虚、湿热、阴虚,过量慎用,实热内盛慎；阴虚火旺慎；孕妇慎；脾虚湿盛慎；高尿酸慎,四季,煎服/后下/冲服/外用/先煎/生食/泡茶/炙用/煲汤/包煎,姜;枣;米;金银花;菊花;薄荷;连翘;甘草,——,——,100-250g/餐,药食两用：具清热、抗炎、调节代谢作用。；常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
金银花茶,jin yin hua cha,食材,花果茶类,平、微温,甘酸、辛,肝;肾;肺;脾;胃;心;小肠;胆,清热解毒;防感冒,咽喉肿痛,气虚、血虚、阴虚、痰湿、湿热,适量使用;忌过量,孕妇慎；阴虚火旺慎；实热内盛慎,四季,煲汤/煮粥/烹饪/泡饮/炖煮/煎服,姜;米;红枣,辛辣;油腻,30-100g/日,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
钩藤,gou teng,中药材,平肝息风,凉,甘,肝;心包,清热平肝;息风止痉,肝火上亢;头痛眩晕;高血压;惊风抽搐,湿热、阴虚、平和,阳虚、脾虚,脾胃虚寒者慎;非肝热风动者忌,四季,煎服/入膳/后下,天麻;菊花,——,——,6-15g/日,药食参考条目。平肝息风。宜后下。,《中国药典》/《名医别录》
银耳,yin er;bai mu er,食材,菌菇,平,甘,肺;胃,滋阴润肺;养胃生津,干咳少痰;阴虚,痰湿、湿热、气虚、平和、阳虚,适量为宜;忌过食,孕妇慎；阴虚火旺慎；实热内盛慎；脾虚湿盛慎,四季,煮汤,姜;枸杞;蜂蜜,酒精;油炸,10-15g/餐（干品）,3-9g/日,食疗与营养兼顾：含多糖、黄酮、维生素等，具有抗氧化作用。,《本草纲目》要点/现代药理参考
阿胶,e jiao,中药材,补血,平,甘,肺;肝;肾,补血滋阴;润燥止血,血虚萎黄;眩晕心悸;阴虚心烦不眠;肺燥咳嗽,血虚、阴虚、平和,痰湿、湿热,脾胃虚弱;呕吐泄泻;痰湿内盛者慎,四季,煎服/入膳/烊化冲服,熟地黄;当归,萝卜;大黄,——,3-10g/日(烊化),药食参考条目。烊化（溶化）兑服，不宜同煎。,《中国药典》/《神农本草经》
附子,fu zi,中药材,安神镇惊、活血,微温,甘、苦,肝;肾;肺;心;小肠;胆;脾;胃;大肠,回阳救逆;补火助阳,亡阳厥逆;阳虚冷痛,气虚、阳虚、血虚、平和、湿热,过量慎用,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎；高尿酸慎,四季,冲服/炙用/泡茶/外用/煲汤/煎服/先煎/后下,附子,——,——,3-9g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
陈皮,chen pi,中药材,调味香料类,微温,苦甘、淡,脾;胃;心;小肠;肺;肝;肾;胆;膀胱;大肠,理气健脾;燥湿化痰,脘腹胀满;咳嗽;痰多咳嗽,阳虚、阴虚、湿热、痰湿、平和,适量为宜;忌过食；过量慎用,孕妇慎；阴虚火旺慎；脾虚湿盛慎；实热内盛慎；高尿酸慎,四季,香料/泡酒/研末/外用/生食/泡茶/炖煮/冲泡/煲汤/煎服/包煎/先煎/研末冲服/后下,姜;枸杞;蜂蜜;陈皮;山楂;麦芽;神曲;半夏;茯苓,酒精;油炸,——,1-3g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
雄黄,xiong huang,中药材,解表,寒、热,苦、酸,肝;胆;肾;心;脾;小肠;肺;胃,解毒杀虫;燥湿祛痰,疥癣;湿疹;蛇虫咬伤,湿热、气虚、阳虚、痰湿、平和,过量慎用,脾虚湿盛慎；实热内盛慎；孕妇慎；阴虚火旺慎,四季,生食/煲汤/研末/外用/炙用/冲服/煎服/先煎/后下/泡茶,姜;枣;米,——,——,3-9g/日,兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
雪莲花,xue lian hua,中药材,稀有药材类,热、平,苦甘、苦,肺;脾;胃;心;肝;肾;胆;小肠,祛风除湿;补肾阳,风湿痹痛;宫寒,阳虚、阴虚、气滞、痰湿、湿热,适量使用;忌过量,实热内盛慎；脾虚湿盛慎；孕妇慎；阴虚火旺慎,四季,炖煮/煲汤/生食/煎服/泡饮/研末/泡茶/炙用/外用,枸杞;红枣;蜂蜜,油腻;辛辣,——,3-9g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
雪里红,xue li hong,食材,蔬菜,温,辛,肺;胃,宣肺化痰;温中利气,寒痰咳嗽;胸闷,痰湿、气滞,适量为宜,阴虚火旺慎,冬、春,腌制/清炒/煮汤,肉类;豆腐;毛豆,——,50-100g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
青菜,qing cai,食材,蔬菜,平,甘,肺;胃;大肠,清热除烦;通利肠胃,消化不良;便秘,平和、湿热,适量为宜,——,四季,清炒/煮汤,香菇;豆腐;肉类,——,150-200g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
青鱼,qing yu,食材,海产类,平,苦、甘,心;小肠;肝;脾;胆;肾;肺;胃,补气血;健脾胃,体虚疲倦;纳差,气滞、血虚、平和、湿热、阳虚,适量使用;忌过量,阴虚火旺慎；实热内盛慎；孕妇慎；脾虚湿盛慎,四季,生食/熬膏/炖煮/煲汤/泡茶/煎服/蒸食,姜;葱;米,辛辣;油腻,100-200g/餐,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
饴糖,yi tang,食材,糖类,温,甘,脾;胃,健脾益气;和胃助运,食积不化;气滞;湿困中焦,平和体质为主，结合个体情况,孕妇或慢性病患者遵医嘱,过敏者禁用,四季,煎服/入膳,——,——,10-30g/日,——,药食参考条目，后续可细化现代研究与营养信息。,《本草纲目》等/现代文献汇编(占位)
香叶,xiang ye,中药材,理气,温、热、平,辛甘、辛,肝;肾;肺;胆;脾;胃;心;小肠,温中行气;芳香开胃,食欲不振;腹胀,血虚、阳虚、阴虚、平和、痰湿,适量为宜;忌过食,孕妇慎；实热内盛慎；脾虚湿盛慎；阴虚火旺慎,四季,生食/炖煮/泡酒/冲泡/煲汤/外用/香料/研末/煎服,姜;枸杞;蜂蜜,酒精;油炸,——,3-9g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
香椿,xiang chun,食材,野菜山珍类,平,苦香,脾;胃,健胃理气;清热解毒,食欲不振;口臭,气滞、湿热、阳虚、气虚、血虚,新鲜适量食用,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,炒蛋/凉拌,姜;蒜;香油,辛辣;油炸,适量,6-15g/日,山野食材兼具养生与食疗价值，富含氨基酸与多糖。,《本草纲目》要点/现代药理参考
香菇,xiang gu,食材,菌菇,平,甘,胃;肝,健胃助食;益气,食欲不振;体虚,平和、气虚,适量为宜,——,四季,炒/炖/汤,青菜;肉类,——,50-100g/餐,——,菌中之王，增香提鲜，营养丰富。,现代营养学
香菜,xiang cai,食材,蔬菜,温,辛,肺;脾,发汗透疹;消食下气,麻疹不透;食滞,气滞、平和,适量为宜,气虚慎;多汗慎,四季,生食/调味,羊肉;海鲜;豆腐,猪肉,10-30g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
香醋,xiang cu,食材,调味品复方类,凉,苦、甘酸,心;肝;脾;肾;肺;胃;胆;小肠,化瘀;解毒,食滞;咽喉肿痛,阳虚、血虚、平和、湿热、气滞,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；孕妇慎,春、夏、秋、冬,熬膏/煎服/外用/炖煮/蒸食,姜;葱;米,辛辣;油腻,适量,9-30g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
香附,xiang fu,中药材,理气解郁,平,辛;微苦,肝;三焦,疏肝理气;调经止痛,肝郁气滞;痛经乳胀,气滞,阴虚火旺慎,——,四季,煎服,——,——,——,6-12g/日,挥发油研究,中医方药
高粱,gao liang,食材,谷物豆类,微温,酸涩、辛咸,肾;肝;肺;脾;胃;胆;心;小肠,健脾燥湿;止泻,泄泻;湿滞,气滞、湿热、阴虚、阳虚、平和,适量使用;忌过量,孕妇慎；阴虚火旺慎；脾虚湿盛慎,春、夏、秋、冬,煲汤/凉拌/泡饮/烹饪/煎服/蒸食/煮粥/炖煮,姜;米;红枣,辛辣;油腻,50-100g/餐,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
